country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,100,100,100,100,200,200,200,200,200,200,200,200,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
Angola,2000,2300,2700,3000,3400,3900,4300,4800,5300,5700,6200,6500,6800,7300,7600,7700,8100,8100,8200,8100,7800,7700,7500,6800,6100,5700,5600,5400,5200,5100,4900,4700,4600
Albania,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Armenia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Australia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Azerbaijan,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,100,100,100,100,100,100,100
Burundi,8100,7500,6500,4200,4100,4200,3500,2900,2600,2400,2000,1800,1600,1600,1400,1300,1300,1300,1200,1100,1000,1000,1000,1000,1000,1000,1000,500,500,500,500,500,500
Belgium,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,100,100,100,100,100,100,100,100,100,100,100
Benin,1700,2000,2200,2500,2600,2800,2700,2500,2400,2300,2100,2000,2000,1900,1800,1800,1700,1700,1600,1400,1200,1100,1100,1000,1000,1000,1000,1000,1000,500,500,500,500
Burkina Faso,5300,5200,4900,4300,3900,3400,3200,2900,2800,2600,2400,2200,2200,2000,1900,1900,1700,1500,1400,1300,1200,1100,1000,1000,1000,1000,1000,1000,500,500,500,500,500
Bangladesh,100,100,100,100,100,100,100,100,100,100,100,200,200,200,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
Bulgaria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bahamas,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Belarus,100,100,100,100,100,100,100,100,100,100,200,200,200,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,200,200,200,200,200
Belize,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bolivia,100,200,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
Barbados,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
